=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
490990 29.37 100872.22 29.06 239981.25 4
491490 29.48 100870.85 29.06 237642.14 5
492990 29.60 100866.48 29.08 41051.96 7
493739 29.68 100865.05 29.09 42567.34 8
495239 29.70 100863.90 29.01 2007351.13 1
496738 29.30 100859.89 28.91 1895857.50 2
496738 29.30 100859.89 28.91 1895857.50 2
496738 29.30 100859.89 28.91 1895857.50 2
496738 29.30 100859.89 28.91 1895857.50 2
500987 29.18 100852.98 28.98 1753424.63 3
501487 29.36 100849.51 29.03 241168.16 4
502237 29.47 100848.59 29.07 235510.58 5
502987 29.51 100847.83 29.03 231989.13 6
503737 29.59 100848.00 29.01 40973.11 7
504986 29.72 100843.69 29.02 43434.00 9
505986 29.69 100842.22 29.00 2008827.88 1
507486 29.30 100840.40 28.88 1901137.13 2
507486 29.30 100840.40 28.88 1901137.13 2
507486 29.30 100840.40 28.88 1901137.13 2
507486 29.30 100840.40 28.88 1901137.13 2
511734 29.17 100830.25 28.95 1753424.63 3
512234 29.35 100827.77 28.99 239476.14 4
512984 29.47 100827.36 29.02 235999.08 5
513734 29.51 100824.66 28.99 232463.11 6
514984 29.68 100822.19 29.02 42567.34 8
515734 29.72 100819.67 28.99 43170.32 9
516733 29.68 100817.45 28.94 2004404.25 1
518233 29.30 100814.17 28.86 1885385.50 2
518233 29.30 100814.17 28.86 1885385.50 2
518233 29.30 100814.17 28.86 1885385.50 2
522232 29.18 100804.52 28.93 1714883.88 3
522982 29.36 100801.98 28.96 237311.70 4
523731 29.48 100801.95 28.93 235836.02 5
524481 29.52 100799.56 28.96 230423.05 6
525231 29.59 100795.64 28.97 40777.32 7
525731 29.68 100797.31 28.96 42188.53 8
527231 29.76 100792.93 28.91 43971.14 0
527480 29.69 100791.80 28.92 1976834.00 1
528980 29.30 100789.31 28.83 1863512.25 2
528980 29.30 100789.31 28.83 1863512.25 2
528980 29.30 100789.31 28.83 1863512.25 2
532979 29.19 100782.11 28.87 1737802.25 3
533729 29.36 100779.73 28.90 237146.83 4
534478 29.48 100779.11 28.92 233098.11 5
535228 29.52 100778.00 28.90 230423.05 6
535728 29.60 100775.66 28.94 40738.38 7
537228 29.73 100773.80 28.91 43039.68 9
538227 29.70 100771.10 28.86 1968284.50 1
