=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
978002 29.11 100419.34 9.84 1193125.50 1
979502 28.73 100415.76 9.83 1166619.25 2
979502 28.73 100415.76 9.83 1166619.25 2
979502 28.73 100415.76 9.83 1166619.25 2
979502 28.73 100415.76 9.83 1166619.25 2
983750 28.60 100406.36 9.79 1145093.63 3
984250 28.79 100408.20 9.80 200391.39 4
985000 28.89 100406.19 9.79 201099.77 5
986499 29.01 100401.96 9.77 41051.96 7
987249 29.10 100400.75 9.78 41571.94 8
988498 29.16 100396.10 9.77 41693.81 0
988748 29.11 100396.00 9.78 1161656.25 1
990248 28.73 100393.13 9.73 1150885.13 2
990248 28.73 100393.13 9.73 1150885.13 2
990248 28.73 100393.13 9.73 1150885.13 2
994496 28.61 100389.40 9.69 1129931.00 3
994996 28.78 100386.57 9.70 197836.17 4
995746 28.90 100387.62 9.70 197836.17 5
996495 28.94 100385.09 9.71 196923.08 6
997245 29.01 100383.66 9.69 40816.33 7
